Line Item,T12 Actual,% of EGI
INCOME,,
Rental Income,"276,900",100%
Laundry Income,"4,800",1.7%
Parking Income,"3,600",1.3%
Late Fees,"1,200",0.4%
Total Income,"286,500",103.5%
,,
Less: Vacancy (5.2%),"(14,378)",-5.2%
Less: Credit Loss (1%),"(2,769)",-1.0%
Effective Gross Income,"269,353",97.3%
,,
EXPENSES,,
Property Taxes,"32,400",12.0%
Insurance,"9,600",3.6%
Management Fee (5%),"13,468",5.0%
Payroll,"19,200",7.1%
Repairs & Maintenance,"9,600",3.6%
Utilities (Common Area),"6,000",2.2%
Landscaping,"3,600",1.3%
Replacement Reserves,"4,000",1.5%
Total Operating Expenses,"97,868",36.3%
,,
Net Operating Income,"171,485",63.7%
